# THE FAMILY TREE ITSELF, WHICH THIS ARCHIVE HAD NEVER OPENED.
# `Family Trees - MyHeritage/Exports & Backups/2018-07 Defranceski.ged`, 7.5 MB, exported July 2018.
# Counted 16 September 2026, after David asked whether it had been gone through. It had not.
#
# *** THIS IS THE LARGEST UNMINED SOURCE IN THE WHOLE PROJECT, AND IT IS SITTING ON THE DISK. ***
what	count	note
individuals	8286	*** Against 278 people in this archive's own register. *** The tree is thirty times the size. Most of it is the other five families - Defranceski, Blazevic, Booyzen, Barry, Taylor - but it has never been counted, let alone read.
families	2532
sources cited	400	A source list this archive has never compared against its own /sources/ page.
media objects	4001	*** And they are NOT on this disk. *** The FILE references point at MyHeritage's servers. Only 169 cached thumbnails survive locally, under Photos/ and Thumbs/, at sizes like 60x80 - too small to read a document from.
Lerena/Taylor-named individuals	81	Matching LERENA, LERINA, LLERENA, LORENA, TAYLOR, BRAYLEY or MARINO on the name line.
of those, carrying media	42
#
# ---- WHAT THE MEDIA TITLES ALREADY GIVE AWAY ----
finding	detail
*** He is entered in the tree as "Roberto Paul (Llorens) Lerena", with 15 media objects. ***	So the Buenos Aires candidate - which David says arrived unsolicited from an Argentine researcher and is likely no relation - *** has already been written into the family's own tree as part of his name. *** That is how a stranger's guess becomes a fact: nobody refutes it in writing, so it sits in the name field for years. It is refuted at /family-papers/.
*** "Mary Ann Taylor Death Certificate" is attached to Mary Septima Taylor. ***	*** Her MOTHER's death certificate. *** Mary Ann Hellen Taylor, born Brayley, died 1900 - the death that orphaned Mary Septima at fifteen and set up the emigration. This archive does not hold it and has never seen it. *** It is the direct route into the BRAYLEY wall, which the DNA independently pointed at the same day. ***
"Lerena Grave" is attached to Nuno Fernando Lerena.	A photograph of the grave. The family say Newlands; the death certificate says Maitland. *** A photograph may settle which. ***
"record-image_3Q9M-C913-K98Q-J" is attached to Roberto Paul.	An estate-file page this archive has not seen - the local folder holds K941, K94R, K983-D, K983-R, K98S-V and K9H3-D, but not K98Q-J.
Forty-two Lerena and Taylor people carry photographs.	*** Most are living and stay unpublished. *** But Ricardo Juan Carlos, Rogue Luis Armando, Gilberto, Anton Armando and Juanita are all dead, all carry images, and none of those images is in this archive.
#
# ---- HOW TO GET AT IT ----
step	what
1	*** The GEDCOM text is already readable and costs nothing. *** Parse it properly: every Lerena and Taylor individual, their dates, their places, their sources. Compare against the 278 in this register and list what the tree asserts that the archive has never tested. That is a morning's work with no downloads.
2	*** The media need the MyHeritage site, not the disk. *** The tree is live at myheritage.com under the Defranceski family site. Each of the 4,001 objects can be opened there. Start with the five dead Lerenas and with "Mary Ann Taylor Death Certificate".
3	Treat everything in it as *** TREE, not RECORD ***, until a source is read. A GEDCOM is somebody's working file; this archive's own /bloodline/ draws tree-only links dashed for exactly that reason.
