search	scope	result	what it means
LERENA	all profiles, exact surname	"Sorry, no WikiTree profile matches" - ZERO PROFILES	*** The surname does not exist on WikiTree. *** Not thin, not poorly sourced - absent. Run twice, the second time with variant-matching switched off, to be sure the null was real and not a spelling fallback.
LLERENA	all profiles, non-living	26 profiles	All Jalisco (Mexico), Cuban-Floridian, or Peruvian. One Spaniard: Antonio Llerena, b. c.1790 San Fernando, Cadiz, Andalucia - the same region and generation as Sancho, but no stated link and no River Plate descent. NO URUGUAYAN OR ARGENTINE PROFILE OF EITHER SPELLING.
LERINA	all profiles	No matches	The variant the Amsterdam search also drew blank on.
LARENA	all profiles	1 profile	Mercedes Larena, Manila 1919. Not related.
TAYLOR born Bideford, Devon	non-living	19 profiles	Mostly 1780s-1800s Bideford Taylors. None attaches to William Taylor's household.
TAYLOR born Worlingworth, Suffolk	non-living	3 profiles	Maria Anne (Taylor) Pringle b.1840, Caroline (Taylor) Thistleton b.1841 - both emigrated to New South Wales - and Maria Tayler b.1816. WILLIAM TAYLOR WAS BORN IN THE SAME PARISH IN FEB 1826, so these are candidate sisters. *** ALL THREE HAVE UNKNOWN PARENTS. *** Same parish, right decade, and nothing to attach them to.
Mary Septima TAYLOR	all profiles	Not present	The search returns 99 fuzzy Marys; none is hers. Her name is distinctive enough that a real profile would surface.
First name SEPTIMA, any surname	all profiles	101 profiles	Seventh daughters from South Carolina to Fremantle. Ours is not among them.
Mary BRAYLEY born c.1843	all profiles	99 fuzzy results	Fuzzy matching swamps the query - Bradley, Bayley, Burley, Barley. Only one true Brayley of the right year: Mary Ann (Brayley) Yelland, Brayley-298.
Mary Ann (Brayley) Yelland [Brayley-298]	profile opened and read	NOT OURS	Queensland. Married a William Yelland before 1863; one son, George James Yelland, d. Brisbane 1945. Parents unknown. Whole profile rests on ONE source - a Queensland death-registration index entry naming his mother. Ours married William Taylor and died at Northam, Devon, 21 Apr 1900.
BRAYLEY born Devon	non-living	100 profiles	A real north-Devon cluster: Chittlehampton, Swimbridge, Braunton, Filleigh, Okehampton, with emigration to Niagara and Buffalo NY. The surname's homeland, as expected - but no path into it from our Mary Ann Hellen.
BRAYLEY born Bideford / born Northam	non-living	6 / 11 profiles	Mostly fuzzy Baileys and Bayleys. One true Brayley at Bideford (William Henry, b.1843) and one at Northam (Elizabeth Davis Brayley, b.1797, d. Quebec 1885). Neither connects.
