# *** EVERY DISGUISE A FALSE ZERO HAS WORN IN THIS ARCHIVE. ***
#
# A search that fails in a way that looks like an answer is the most dangerous thing this
# archive meets, because a null is EVIDENCE here: most of what has been established is
# negative. On 15 September the working log recorded that the same trap had been seen
# *** FOUR TIMES IN A MONTH, in four different disguises. *** It is now ten, and the ones
# added on 20 September were caught by the habit rather than by luck.
#
# Gathered out of the working logs on 20 September 2026, where nine of these were sitting
# where no reader could see them.
#
# *** THE RULE THEY ALL PRODUCED: a null is not written down until a CONTROL query, in the
# same form and the same session, returns a result already known to exist. ***
disguise	what it looked like	what it actually was	how it was caught	when
*** THE PAGE THAT COUNTS BEFORE IT HAS LOOKED ***	*** "Historical Record Search Results (0)" *** - complete, composed, confident, and indistinguishable from an empty result.	The heading rendering *** while the query was still running. *** Waiting returned the five records, then 210, then 822.	A control on *** Sancho Lerena ***, whose five records had been pulled twenty minutes earlier, returned zero as well. A known-false zero proves the fault is in the query.	14 Sep 2026
*** AND IT IS STILL DOING IT SIX DAYS LATER ***	The same "(0)", three times in one sitting - on Justo, on Alfredo Justiniano, and on the first Gilberto sweep.	*** 39, 80 and 63 records. *** The heading is the page talking to itself before the results arrive.	Reading the page *** twice ***, which is in this archive's habits precisely because of the entry above, and still nearly produced three false nulls in one evening.	20 Sep 2026
*** THE SESSION THAT LOGGED ITSELF OUT AND DID NOT SAY SO ***	Three searches returning zero results *** and no "No Results Found" line *** - which is normally this archive's proof that a search ran.	The FamilySearch session had *** silently expired *** and every request was being redirected to ident.familysearch.org, the sign-in page. It does not announce a logout, and the page that arrives is not obviously an error.	The control, *** and only the control: *** "Sancho Lerena", which had returned three Canelones baptisms, returned nothing.	15 Sep 2026
*** THE QUOTA ERROR WEARING AN EMPTY SHELF ***	A Google Books API response reading *** totalItems: None. ***	*** An HTTP 429 *** - the quota refusing, not the shelf being bare.	The status code, which the body never mentioned.	Sep 2026
*** THE BLOCK BEHIND AN EMPTY BODY ***	A zero-length response, no error, no message.	*** "Access Denied - Error 15, this request was blocked by our security service" *** - delivered as an empty body rather than as a refusal.	The same class of failure as the quota error: *** the service failing in a way that resembles success. *** Worse than an outage, because an outage announces itself.	Sep 2026
*** THE ZERO DELIVERED ON THE WAY TO A BLOCK ***	A clean-looking zero from the Granada index, moments before Error 15 arrived.	A search already being refused. *** "A zero delivered immediately before a block is the least trustworthy zero there is." ***	The control - *** "Juan de Lerena y Aguilar", a phrase known to return a hit because it was read an hour before *** - never loaded at all.	15 Sep 2026
*** THE THROTTLE THAT EMPTIES A PAGE ***	Four consecutive image transcripts returning *** length zero *** - which looks exactly like four blank pages in a register.	*** Rate limiting. *** Image 86, re-read after a forty-second pause, gave 2,970 characters. Image 22 had failed three times across two days and read clean at 3,451.	A zero is never allowed to count as a read. *** Eleven pages would otherwise have been silently certified as empty. ***	14 Sep 2026
*** AND THE EMPTY PAGE THAT WAS NOT THE THROTTLE ***	Three more empty transcripts, identical in every visible way to the throttle above.	*** Images outside the volume altogether. *** The film holds 421 images and several volumes, not the 148 assumed.	*** The page TITLE. *** A throttled page still resolves to the volume's name; an image outside the volume resolves to something else. Without that check the three would have been logged "not read" forever and the volume never called finished.	14 Sep 2026
*** THE QUERY THAT CANNOT REACH WHAT IS THERE ***	Two exact-surname searches returning zero *** with *** the "No Results Found" line present.	The indexed surname was a *** compound - "Lerena y Armenta" - *** which exact matching will not reach.	A control showed the same query shape could not retrieve a record *** known to be in the collection. A null from a query that cannot find what is there is not a null. ***	15 Sep 2026
*** THE COUNT THAT HAS NO ZERO TO GIVE ***	The FamilySearch *** personas API *** answering 8,549 for surname Lerena in Uruguay.	*** The same 8,549 for every variant *** - add a given name, add a spouse, change the control's parameters entirely. The field ignores them. An invented surname, Zzzqqxx, still returns *** 102. ***	Running a control with *** deliberately different parameters *** and getting an identical number. No null can ever be drawn from an instrument that cannot return one.	20 Sep 2026
*** THE COLLECTION FILED UNDER THE WRONG COUNTRY ***	A reel whose page title attributes it to *** COLOMBIA. ***	*** Uruguayan acts. *** The attribution is simply wrong on FamilySearch's side.	Reading the images rather than the label. *** Recorded because a researcher who trusted the page title would conclude the reel is Colombian and abandon it. ***	14 Sep 2026
*** THE CORPUS THAT HOLDS THE WRONG RECORD TYPE ***	Spanish full-text searches for *** Felix Llerena and Rosalia Aguilar *** returning zero.	The Andalusian full-text corpus holds *** nobility and notarial records, not parish registers. *** The zero meant "not findable by this instrument", not "not there".	Asking the control question - *** what Andalusian collections exist at all *** - instead of asking for the name again. Until the corpus is mapped, every Spanish null this archive produces is uninterpretable.	15 Sep 2026
*** AND AGAIN THE NEXT DAY, ON A COUPLE WHOSE CHILDREN ARE IN THIS REGISTER ***	A parent-pair query on *** BERNABE LERENA and CASIMIRA PELAEZ ***, whose four children this archive has held since 13 September.	*** "(0)" ON THE FIRST READ AND 22 ON THE SECOND. *** Four seconds apart.	*** THE ONLY REASON IT WAS CAUGHT IS THAT THE ANSWER WAS ALREADY KNOWN TO BE WRONG *** - the same thing that caught the very first one on 14 September. A control you happen to be standing on.	21 Sep 2026
*** A PARENT'S SURNAME THAT REMOVES THE RECORDS IT MATCHES ***	A parent-pair query on *** AVELINO LERENA and CELEDONIA VILLADEMOROS ***, Uruguay - father's surname exact, mother's given name and surname supplied - returned a clean *** 0 ***, with rows rendered and the page settled. Read twice.	*** SEVEN RECORDS, AND TWO OF THEM ARE IN THIS REGISTER ALREADY *** - the christenings of Avelino Pedro Joaquin Silvestre in 1866 and Pedro Gualberto in 1870. *** Deleting the mother's SURNAME and keeping only 'Celedonia' returned all seven. *** The likely mechanism: the mother's whole name sits unparsed in the given-name field, so supplying a surname excludes every record the parser failed on - and one of the seven displays its mother as 'Celedonia Villademoros', spelled exactly as asked.	*** THE ARCHIVE'S OWN RECORDS. *** The zero was known to be wrong before it was investigated, because this couple's children were entered on 20 September. *** No control would have caught it: *** the control for this shape - Alberto Lerena with Maria Ines Larriera - had returned sixteen records in the same session, which is what made the zero look trustworthy.	21 Sep 2026
*** THE SAME TRAP AGAIN, ONE HOUR LATER, AND THIS TIME THE RULE CAUGHT IT ***	A parent-pair query on *** ALFREDO LERENA and HERMENEGILDA GAVARRO ***, Uruguay: *** 0 ***.	*** THREE RECORDS. *** Deleting the mother's SURNAME and keeping only 'Hermenegilda' returned them - and they are her own death registration of 1940, which the archive had never seen. *** The index writes her surname 'Navarro de Terenadel', a machine mangling of GAVAZZO DE LERENA ***, so no spelling anybody would have guessed could have reached her.	*** BY THE RULE WRITTEN DOWN SIXTY MINUTES EARLIER: delete each added parameter in turn. *** The Villademoros zero cost an afternoon and was caught only because the archive already held the hidden records. This one cost one query. *** That is the whole argument for writing the rule down instead of remembering it. ***	21 Sep 2026
*** THE ONE THAT PASSED EVERY TEST THIS ARCHIVE HAS ***	*** EVERY SEARCH RETURNING 0. *** Not a slow page and not an error: 'Historical Record Search Results (0)' with *** 'No Results Found' *** printed beneath it - the POSITIVE ASSERTION OF EMPTINESS this archive treats as the mark of a real null - *** stable across two reads twelve seconds apart, and still 0 after a NINETY-SECOND wait. ***	*** A DEGRADED SERVICE. *** The proof is arithmetic, not judgement: *** surname GONZALEZ in URUGUAY returned 0 ***. Gonzalez is among the commonest surnames in the Spanish-speaking world and the Uruguayan civil registration runs to millions of records. *** And the same URL that returned TEN records that morning - Avelino Lerena with Ambrosia Traibel, the ten acts this archive spent the day reading - returned 0 that afternoon. ***	*** BY A CONTROL WHOSE ANSWER CANNOT BE ZERO. *** Every other guard failed: the count was stable, the 'No Results Found' line was present, the wait was long, and a control run EARLIER THE SAME DAY had passed. *** THE ARCHIVE WAS ONE STEP FROM PUBLISHING A FABRICATED MECHANISM *** - that the parent-pair query cannot reach acts held only in full text - built entirely on this outage. *** SO THE RULE GAINS TWO WORDS: a control must be RECENT, and its answer must be ARITHMETICALLY IMPOSSIBLE TO BE ZERO. ***	21 Sep 2026
