# FOUR MEN CALLED ALEJANDRO LERENA - tested 14 September 2026, RE-READ 22 September 2026.
#
# *** THIS FILE WAS STALE FOR EIGHT DAYS AND SAID SO NOWHERE. *** Its first row named LUIS LERENA and
# JUSTINIANA LENGUAS as the first man's parents. The register retracted that on 14 September - they are
# his GODPARENTS, and his father is AVELINO - and the retraction never reached this table. Register row
# 180 even ended with "the candidate pool has changed and the table needs re-reading". Nobody re-read it.
# A correction that is logged but not propagated is not a correction. The row below is now the corrected one.
#
# THE TEST ASKED: is the ALEJANDRO baptised at La Mauricia on 7 January 1846 the same man as the
# ALEJANDRO M. LERENA who appears as a father on the army enrolment cards of Cajon 985?
#
# ON 22 SEPTEMBER TWO MONTEVIDEO BIRTH ACTS OF HIS OWN CHILDREN WERE OPENED. They do not name his
# parents. They do something the 14 September test did not anticipate: they state HIS AGE, twice,
# sixteen months apart, in his own presence - and that moves the arithmetic a long way.
who	born	wife	children / records	what is known about his parents
*** Alejandro LERENA TRAIBEL *** (recorded until 14 Sept as LERENA LENGUAS)	*** UNDETERMINED BETWEEN 29 MAY 1843 AND 29 MAY 1845 *** - the act reads "que nacio el veinte y nueve de Mayo del pasado ano cuarenta y tres", but all three acts on that opening carry the identical phrase, including one for a different couple, so the year is a formula and not a statement	unknown	Baptised 7 January 1846 at La Mauricia, Villa de la Union, IMAGE READ. On that same morning Luis and Justiniana brought their own children to the same font and the two brothers stood for each other's	*** KNOWN AND PRIMARY: AVELINO LERENA and AMBROSIA TRAIBEL. *** Paternal grandparents named on the act as *** FRANCISCO *** and *** MARIA FERNANDEZ ***; maternal as JUAN and ISABEL CENTENO. He is the eldest known child of Avelino, and a NEPHEW - not a brother - of Luis Eugenio and Gilberto.
*** Alejandro M. LERENA *** (the tree indexes him Alejandro MAXIMO)	*** BORN BETWEEN 17 MARCH AND 6 NOVEMBER 1844 *** on the arithmetic of two acts - "de cuarenta y dos anos de edad" on 6 Nov 1886 and "de 43 anos" on 16 Mar 1888. The "1839" this table carried is a TREE VALUE, not a record, and it is *** FIVE YEARS OUT ***	Julia BASSANI (indexed also Basani, Bossani, Barsani, Balani) - but see the note below: in 1886 he was a WIDOWER and she was SOLTERA	A large family, MONTEVIDEO FIRST and Buenos Aires later: Hector Narciso b. Montevideo 29 Oct 1886 and Emilia Alberta b. Montevideo 16 Mar 1888, then Elisa Cornelia 1905, Carmen Romualda 1907 and Maria Luisa 1908 baptised in Capital Federal; Julieta Eugenia m. Buenos Aires 1912; Hector and Romer Rosario in Argentine military records 1911-1936	*** STILL NOT NAMED BY ANY RECORD. *** The 1888 act is a PRINTED FORM with a ruled line reading "Que es nieta por linea paterna de ______". *** THE LINE IS BLANK. *** So is the maternal one. The form asked this archive's exact question and nobody wrote an answer on it - which is common on these forms and is NOT evidence that he could not have answered.
Alejandro LERENA m. Elisa VILLARDEMOROS	-	Elisa VILLARDEMOROS	A son Alejandro Joaquin Narciso, born 29 Oct 1872, christened at the Cordon 29 May 1873. Index read only	Not known. Added to this table 22 September because a fourth Alejandro belongs in the count and this table was still titled "three".
Alejandro Lerena of the Trinidad orbit	-	Severa FERNANDEZ; and a Barbara Lerena	Children indexed as Pedro, Justina, Carmelo Anselmo, Venancio, and a Bernabe Lorena - and BERNABE is one of the six Trinidad, Flores fathers	Not known. Belongs with the Trinidad kindred rather than the Montevideo house.
#
# *** THE VERDICT: STILL INCONCLUSIVE, BUT THE GAP HAS CLOSED FROM SIX YEARS TO ONE. ***
#
# What the two acts did to the arithmetic. He gave his age as 42 on 6 November 1886 and 43 on
# 16 March 1888 - sixteen months apart, and INTERNALLY CONSISTENT, which means he was not guessing
# wildly. Those two statements together put his birth between 17 March and 6 November 1844.
#
#   against the 1846 baptism, either reading:   ONE YEAR OUT, and out in OPPOSITE directions
#       born 29 May 1843 -> he would have said 43 and 44, and he said 42 and 43
#       born 29 May 1845 -> he would have said 41 and 42, and he said 42 and 43
#   against the tree's 1839:                    FIVE YEARS OUT, both times
#
# A man who is consistently one year off a baptism act is the ordinary case and this archive has seen
# it repeatedly. A man who is five years off, twice, is a different man or a bad index. *** THE AGES
# CANNOT CHOOSE BETWEEN 1843 AND 1845 - THEY SIT EXACTLY BETWEEN THEM - BUT THEY DO PUT HIM IN THE
# MID-1840s AND NOT IN 1839. *** That is the first thing that has ever pointed these two rows at each
# other, and it is circumstantial. They stay separate rows.
#
# THREE NEW FACTS THAT ARE LEADS, not conclusions:
#   *** VIUDO. *** On both acts he is a WIDOWER. There is a first wife, married before 1886 and dead
#       before November 1886, and her marriage and death are Montevideo records that should exist.
#       A MARRIAGE ACT NAMES THE GROOM'S PARENTS. That is the shortest route left to this table's answer.
#   *** ESCRIBANO. *** He is a NOTARY, on the 1886 act. Notaries leave protocolos, and the Archivo
#       General de la Nacion in Montevideo holds them by name.
#   *** CALLE SAN JOSE N 17 *** in 1886, while Julia Bassani lived at calle Ybirini N 321 - two
#       addresses, and the children were born at HERS.
#
# AND ONE DISCREPANCY THIS ARCHIVE WILL NOT RESOLVE BY PICKING: Julia Bassani is *** ITALIANA *** on the
# 1886 act and *** AUSTRIACA *** on the 1888 act, aged 22 and then 24. Both acts were written in front of
# her. The Austrian Empire held Italian-speaking lands until 1918 and a Trieste or Trentino subject could
# be described either way, so the two are not necessarily in conflict - but they are not the same claim,
# and this file records both rather than choosing.
